,Company,Job_title,Term,Start_time,Duration,Location,Job_description,Job_responsibilities,Required_qualifications,Salary_Renumeration,Opening_date,Application_deadline,Number_of_job_posting_retrivals,Job_link,Industry
0,Rosgosstrakh Armenia ICJSC,"Head of Administration and Technical Support Division, IT Department",Full time,ASAP,Long term,"Yerevan, Armenia","Rosgosstrakh Armenia ICJSC is looking for a highly qualified specialist to work as a Head of Administration and Technical Support Division of IT Department and organize, administer, plan and improve the operation of internal networks, informational and telecommunication networks, servers and applications.","Ensure the server operating systems and applied software support, as well as implement database administration; Implement the Company's computer and telephone network administration; Conduct information security monitoring; Ensure information system security standards retention established in the Company; Provide new technical equipment installation and control its smooth operation; Provide administration of systems and services access; Cooperate with telephone and telecommunication suppliers; Design technical projects for information network development; Confirm the process of providing employees with access to systems, services, etc.; Engage in regular network troubleshooting activities and resolve network connectivity issues; Analyze the current network structure and submit quarterly comprehensive reports to executive team on how to make the network more efficient; Organize and control division activities.","University degree in Computer Science or a related field; At least 3 years of experience in system and network administration; At least 1 year of experience in a managerial position։; Excellent knowledge of MS Windows 7/10, MS Windows 2008/2012 R2/2016 Server, MS Active Directory, GPO, Terminal Server, File Server, MS Exchange 2010/2013/2016, MS WSUS Server, MS SQL Server 2008/2012/2016, MS IIS 7.5 – 10.0, VMware ESXi, Veeam Backup 7.0, Linux (Debian, CentOS), Asterisk, Elatix administration, TCP/IP, DNS, DHCP, FTP and VPN; Proven experience managing a large and complex network; Strong problem solving and decision making skills; Project management skills to facilitate a team; Ability to work independently; Ability to work under strict deadlines.",Competitive,2018-09-18,2018-10-17,514,https://www.careercenter.am/ccdspann.php?id=32804,Management
1,Evocabank CJSC,C# Software Developer,,ASAP,,"Yerevan, Armenia","Evocabank is looking for a motivated specialist with experience in software development who will design, develop and test software to improve business efficiency and productivity.",Perform web service programming for internet banking and mobile banking; Implement all the steps of the local software projects from design to integration with AS Bank system; Perform object oriented analysis; understand the requirements and problems and translate them into functional specifications; Initiate and support new business solutions enhancing systems and automating bank operations.,"Higher education in IT or in a technical sphere; At least 2 years of professional experience as a C# (.NET) Software Developer; Working experience with ADO.NET, LINQ and Entity Framework technologies; Good knowledge of WCF and REST technologies; Good knowledge of MS SQL server and relational database design; Strong interpersonal and communication skills; ability to work in a team; Self development skills and ability to keep up to date with fast changing trends; Ability to meet deadlines; high sense of responsibility; Fluency in Armenian and Russian languages; knowledge of technical English language.",Competitive,2018-09-18,2018-10-17,224,https://www.careercenter.am/ccdspann.php?id=32806,Information Technology
2,IT Logic Tech LLC,Assistant to General Director/ Accounting Assistant,,ASAP,,"Yerevan, Armenia",IT Logic Tech LLC is seeking an Assistant to General Director/ Accounting Assistant.,Follow appropriate checkin and checkout procedures; Answer calls and take messages; provide information to callers; Take and relay accurately and timely messages from telephone callers and answer queries where possible; Provide general administrative and clerical support; Maintain appointment diary; Manage ownership and liability accounting records; Manage work and payment records; Prepare to archive records; Fill out the original records; Manage records of the goods; Record transactions in accounting; Calculate cash in a cash register; Organize accounting for a cashier; Manage banking operations documents.,"Higher education in Accounting, Finance or Economics; Excellent knowledge of Armenian, English and Russian languages; Knowledge of E invoicing; Ability to prioritize and manage tasks; Proficiency in MS Word, Excel, PowerPoint, Outlook and Internet; Knowledge of customer service principles and practices; Excellent self presentation skills; Very effective organizational skills; Attention to details.",,2018-09-18,2018-10-17,309,https://www.careercenter.am/ccdspann.php?id=32777,Management
3,Tumo Center for Creative Technologies,Senior Full Stack PHP Developer,,,Permanent,"Yerevan, Armenia","Tumo Center for Creative Technologies is looking for a talented and enthusiastic Senior Full Stack PHP Developer to join the product team, to work openly, accept feedback and work closely with other teams.","Work as a part of a team to set the direction of front end development stack for a suite of innovative educational web apps; Build cutting edge, beautiful front end interfaces for the Company's products; Ensure front end interfaces work seamlessly with the Company's PHP frameworks; Review other team members' code and ensure adherence to established standards; Work with the Head of Software Development and UI/ UX Designer to propose optimal technical solutions to the proposed requirements and designs; Extend knowledge to other team members to ensure a good level of front end development knowledge across all team members; Ensure all user feedback is integrated into the product development life cycle.","Higher education in Computer Science or a related discipline; Excellent knowledge of HTML5, CSS, JavaScript and PHP; Detailed knowledge and experience in implementation of one or more key frameworks (React.js, Node.js, Angular.js); Knowledge of Object Oriented Javascript, PHP5, and non relational databases; Expert knowledge of the latest front end development trends; a portfolio is desirable; Keen interest in technology and digital product design, including a deep understanding of how to ensure great user experience across all devices and channels; Enthusiastic about user centered design and ability to demonstrate professional experience in building great user interfaces (for mobile and web); Experience with an Agile team using Sprints, Scrum and other methods; Willingness to take part in demos, and end user testing.",,2018-09-18,2018-10-17,181,https://www.careercenter.am/ccdspann.php?id=32802,Information Technology
4,Tumo Center for Creative Technologies,Senior Front End/ React.js Engineer,,,Permanent,"Yerevan, Armenia","Tumo Center for Creative Technologies is looking for a talented and enthusiastic Senior Front End/ React.js Engineer to join the product team, to work openly, accepting feedback and working closely with other teams.","Work as a part of a team to build new, scalable educational software products for the Company's centers in Armenia and around the world; Create pixel perfect beautiful, responsive web and mobile components for the Company's educational products that work with the existing API services; Look ahead at the latest UI/ UX trends to create awesome interactions; Review other team members' code and ensure adherence to established standards; Provide training to other team members and help them build their front end skills; Extend own knowledge to other team members, delivering training where needed; Ensure all user feedback is integrated into the product development life cycle.","Rich portfolio of previous projects to show, either on GitHub or in CV; Strong foundation in software engineering; At least 4 years of experience in software development, particularly at least 2 years of React.js experience; Enthusiasm for learning and working with the latest trends in front end web design; Knowledge and mastery of the latest trends in UI/ UX, including micro interactions, user testing and fast prototyping; Keen interest in technology and digital product design, including deep understanding of how to ensure great user experience across all devices and channels; Experience with an Agile team using Sprints, Scrum and other methods; Willingness to take part in demos and end user testing.",,2018-09-18,2018-10-17,178,https://www.careercenter.am/ccdspann.php?id=32803,Information Technology
5,Eattle,UX/UI Designer,,,Long term,"Yerevan, Armenia",Eattle is looking for a talented and experienced UX/UI Designer who wants to join its team in social dining industry. The candidate will work on the new and existing products development.,"Work in an Agile team with scrum methodology; Actively communicate with internal and external stakeholders during planning and development; Think strategically about the products, UX/UI, the users, and the business as a whole; Create design system; Create flow documentation, concepts and prototypes for the new products from scratch and share broadly within the Organization; Create wire frames, mock ups and visual design resources for developers; Make design and technology choices.","At least 3 years of experience in designing web products during multiple release cycles; Expertise in end to end product design, including research, UX, UI, interaction design, building and user testing clickable prototypes and working with developers and the PO during implementation; Adept at translating user needs and business requirements into thoughtful UX; Proficiency in using the latest design tools; Experience in working with inVision, Sketch or Zeplin design tools is preferred.","Competitive, based on experience.",2018-09-18,2018-10-17,190,https://www.careercenter.am/ccdspann.php?id=32797,Information Technology
6,DVV International Armenia,Grant Expert,,15 October 2018,Short term,"Yerevan, Armenia","The Grant expert is responsible for developing a comprehensive grants manual and guidelines for DVV International Armenia Country office that will facilitate grants making system (including identifying potential grantees, developing a system of solicitation, application, selection, contract making and monitoring of grants within the framework of EU) both as part of DVV's core activities and for use under different third party funded programs/ projects, more specifically the European Union. This position will report to DVV International Armenia's Country Director and Financial Director for programs and financial aspects respectively.",,"Higher education, preferably in Business, Economics or Finance; At least 3 years of experience in grant or loan administration, including as a Grant Manager or Grant Implementer, preferably with the European Union funded projects; Knowledge of the issues, objectives and activities of the NGO sector, with experience working in a CSO is desirable; Ability to set priorities, manage time effectively, and meet deadlines; accuracy and attention to detail; Ability to work both independently and as an effective team member; analytical and problem solving skills; Computer skills, including experience using Microsoft Word, Excel and email; Intermediate level of English language.",,2018-09-18,2018-09-28,424,https://www.careercenter.am/ccdspann.php?id=32792,Other
7,Carrefour Armenia,Accounts Payable Clerk,Full time,ASAP,Permanent,"Yerevan, Armenia",Carrefour is seeking a candidate to fill the vacant position of Accounts Payable (AP) Clerk.,Record and post invoices and credit notes relating to goods purchases and returns; Prepare and check payments for suppliers on time; Attend and solve daily queries of suppliers over the phone; Assist the Cost Accounts Supervisor in preparing supplier reconciliations and other accounting activities as directed by the Supervisor; Responsible for proper filing of documents in suppliers' files; Attend the physical stock takes and assist the Finance Department in completion of administrative work which can arise after stoke take; Prepare the daily report for payments issued to suppliers; Perform other accounting activities as directed by the Finance Manager.,"Higher education in Accounting, Finance, Economics or in a related field; Working experience in the related field; Knowledge of English language; Knowledge of MS Office; Communication and teamwork skills; Attention to detail; Results oriented person; High sense of integrity, responsibility and accuracy.",,2018-09-18,2018-10-17,260,https://www.careercenter.am/ccdspann.php?id=32769,Admin & Clerical
8,Varks.am,Contact Center Specialist,Full time,ASAP,"Permanent, with a probation period of 3 months.","Yerevan, Armenia",Varks.am is seeking a successful candidate for the position of Contact Center Specialist who will provide the Company's information in an efficient and timely manner.,Provide service to current and potential customers through an online consultant service; Implement telephone surveys in order to reveal customer demands; Fix customer problems at the first contact and transfer non resolved problems as complaints to the Troubleshooting Supervisor; Inform customers about new offers and services; Inform customers about the complaint status and resolution; Carry out the satisfaction inquiry campaign established by the Quality Team; Apply retention and customer loyalty during all contacts; Carry out retention and loyalty campaigns established by the Retention and Loyalty Team.,"Higher education; Knowledge of Armenian, Russian and English languages; Computer skills; Excellent oral expression skills; Ability to listen; Ability to engage in teamwork; Sales skills.",,2018-09-18,2018-10-17,200,https://www.careercenter.am/ccdspann.php?id=32793,Other
9,Lesona LLC,Sales Consultant,,ASAP,"Long term, with 2 months of probation period.","Yerevan, Armenia","Lesona LLC is seeking a dynamic Sales Consultant to join its team in ""Hermitage Exclusive Perfumes and Cosmetics"" store.",Organize sales in the store; Maintain and improve relationships with the clients; Responsible for costumer service in the perfume store.,At least 1 year of sales experience; Ability to communicate with clients; Basic knowledge of English and Russian languages.,,2018-09-18,2018-10-17,199,https://www.careercenter.am/ccdspann.php?id=32774,Sales & Service Management
